name;category;facets;bbx;bby;bbz
Sukhoi_SU-57;;43164.0;22.0;14.72882080078125;3.542999267578125
Sukhoi_SU-34;;49899.0;23.34004020690918;14.8997802734375;4.408332824707031
Rockwell_B-1_Lancer;;49161.0;44.499755859375;25.850452423095703;8.94091796875
JF-17_Thunder;;49442.0;14.930027961730955;9.590455055236816;5.011293888092041
TAI_Kaan;;49900.0;20.30001640319824;13.245086669921877;3.980026245117188
Dassault_Rafale;;49985.0;15.26995849609375;10.868499755859377;4.142333984375
Northrop_T-38_Talon;;49979.0;13.999984741210938;7.506114959716797;3.29290771484375
TAI_Hurjet;;49943.0;13.599992752075195;10.8428955078125;5.13385534286499
Northrop_F-20_Tigershark;;49694.0;14.3994140625;8.138054847717285;3.490234375
F-4_Phantom_II;;49985.0;19.199989318847656;14.79248046875;4.840614318847656
Grumman_F-14_Tomcat;;48439.0;19.099609375;19.10145378112793;4.8466796875
Eurofighter_Typhoon;;49217.0;16.0;10.721741676330566;6.0684814453125
KAI_T-50_Golden_Eagle;;25830.0;13.09995460510254;9.01333999633789;4.284347534179688
Mikoyan_MiG-35;;34654.0;17.299991607666016;12.41960906982422;5.043654441833496
Boeing_EA-18G_Growler;;49799.0;18.30001449584961;12.564109802246094;4.693734169006348
Grumman_EA-6B_Prowler;;33248.0;17.70001983642578;15.8473539352417;4.640292167663574
Helwan_HA-300;;49831.0;12.418224334716797;5.89763879776001;2.912293672561645
Lockheed_F-16_Fighting_Falcon;;49787.0;15.099957466125488;10.609989166259766;5.324455261230469
Lockheed_F-22_Raptor;;49806.0;18.000019073486328;12.692567825317385;4.53044319152832
Mikoyan_MiG-23;;44170.0;16.699993133544922;7.806509494781494;4.80260181427002
Mikoyan_MiG-31;;48808.0;22.689985275268555;13.442147254943848;6.249351501464844
Northrop_F-5;;49800.0;14.499992370605469;8.286970138549805;4.038757801055908
Shenyang_J-15;;48923.0;22.27995109558105;14.61484146118164;6.277887344360352
Sukhoi_SU-25;;48152.0;15.329998016357422;14.21451187133789;5.428321838378906
Yakovlev_Yak-130;;49801.0;11.5;9.445114135742188;4.658065319061279
Sukhoi_SU-57_10000;;10001.0;22.000288009643555;14.728822708129885;3.5429725646972656
Sukhoi_SU-34_10000;;10003.0;23.34137725830078;14.899799346923828;4.408773899078369
Rockwell_B-1_Lancer_20000;;20004.0;44.51127624511719;25.8178939819336;8.946683883666992
JF-17_Thunder_10000;;10000.0;14.930551528930664;9.590455055236816;5.0112409591674805
TAI_Kaan_10000;;10004.0;20.29972076416016;13.245086669921877;3.979769229888916
Dassault_Rafale_10000;;10001.0;15.268939971923828;10.868412017822266;4.1475324630737305
Northrop_T-38_Talon_10000;;9999.0;14.000018119812012;7.506115913391113;3.2925355434417725
TAI_Hurjet_10000;;10002.0;13.60075569152832;10.842910766601562;5.134608268737793
Northrop_F-20_Tigershark_10000;;10003.0;14.404372215270996;8.13758659362793;3.4916234016418457
F-4_Phantom_II_10000;;10000.0;19.201265335083008;14.79111099243164;4.838367462158203
Grumman_F-14_Tomcat_20000;;20004.0;19.09384155273437;19.08830642700196;4.846942901611328
Eurofighter_Typhoon_20000;;20003.0;15.995166778564451;10.720145225524902;6.068130493164063
KAI_T-50_Golden_Eagle_10000;;9999.0;13.10076141357422;9.01333999633789;4.284348487854004
Mikoyan_MiG-35_10000;;10000.0;17.299755096435547;12.41960906982422;5.047295570373535
Boeing_EA-18G_Growler_10000;;10001.0;18.30578994750977;12.564153671264648;4.693760871887207
Grumman_EA-6B_Prowler_10000;;9999.0;17.70001983642578;15.845114707946776;4.639621734619141
Lockheed_F-16_Fighting_Falcon_10000;;10000.0;15.099210739135742;10.609346389770508;5.324206352233887
Lockheed_F-22_Raptor_10000;;10000.0;18.000083923339844;12.693923950195312;4.531735420227051
Mikoyan_MiG-23_10000;;10002.0;16.699993133544922;7.807880401611328;4.801515579223633
Mikoyan_MiG-31_10000;;10000.0;22.690019607543945;13.43976593017578;6.251002788543701
Northrop_F-5_10000;;10004.0;14.500181198120115;8.28697395324707;4.039109230041504
Shenyang_J-15_10000;;10000.0;22.27965545654297;14.614873886108398;6.277921199798584
Sukhoi_SU-25_10000;;10003.0;15.331012725830078;14.211978912353516;5.42127799987793
Yakovlev_Yak-130_10000;;10003.0;11.500282287597656;9.441169738769531;4.658038139343262
Vapor_55_UAV_20000;1.0;20002.0;1.7999036312103271;1.6987206935882568;0.5557277798652649
Scaneagle_UAV_20000;1.0;20001.0;1.7336277961730957;3.100026130676269;0.5620969533920288
Drone_X8_Octocopter_20000;1.0;20002.0;1.1898326873779297;1.1898375749588013;0.4091420173645019
Agriculteur_UAV_20000;1.0;20001.0;0.643499493598938;1.1000018119812012;0.1241501346230506
Glider_20000;1.0;13308.0;1.0577392578125;1.8000030517578125;0.284515380859375
Mehmet_Prototype_UAV_20000;1.0;20003.0;1.8248291015625;2.0;0.4668641090393066
IAI_Harop_20000;1.0;20000.0;2.500041484832764;2.181410789489746;0.5040415525436401
Helicopter_Drone_UAV_20000;1.0;20000.0;2.5999913215637207;0.4622513055801391;0.7973198890686035
Antonov_An-72_10000;;10004.0;26.60104751586914;23.83670425415039;8.548768043518066
Antonov_An-225_10000;;10000.0;85.30487823486328;88.67398834228516;21.709857940673828
Supersonic_Jet_20000;;20000.0;48.996726989746094;23.464332580566406;13.65725326538086
Sphinx_UAV_10000;;10002.0;11.081177711486816;15.99894905090332;2.560894012451172
Northrop_YB-35_10000;;10001.0;16.200098037719727;51.335243225097656;5.3002777099609375
Northrop_Grumman_RQ-4_Global_Hawk_10000;;10000.0;13.499958038330078;47.948341369628906;3.8799238204956055
Lockheed_U-2_10000;;10001.0;19.1999740600586;31.58058738708496;4.890320777893066
Lockheed_P-3_Orion_10000;;10000.0;35.60025405883789;29.40129852294922;9.152139663696287
Kamov_Ka-52_10000;;10002.0;15.998148918151855;11.695558547973633;5.128363609313965
HAL_Prachand_20000;;20004.0;15.798527717590332;10.400911331176758;4.800204753875732
Grumman_F7F_Tigercat_10000;;10000.0;12.246501922607422;13.8184814453125;5.105611801147461
Fairchild_A-10_Warthog_10000;;10000.0;16.25893783569336;17.18474578857422;4.635630130767822
Embraer_Phenom_100_20000;;20001.0;12.820904731750488;12.188438415527344;4.4904303550720215
Embraer_C-390_Millennium_10000;;10000.0;35.218467712402344;35.048316955566406;11.687501907348633
Consolidated_PBY_Catalina_10000;;10003.0;19.766281127929688;31.699920654296875;5.92367696762085
Boeing_787_10000;;10003.0;57.1064682006836;60.10026550292969;17.27357292175293
Bell_V-280_Valor_10000;;9999.0;20.335872650146484;24.92605209350586;4.9620361328125
Bell-Boeing_V-22_Osprey_10000;;10000.0;17.492578506469727;16.37833023071289;6.737817287445068
Bell_AH-1Z_Viper_20000;;20000.0;15.021543502807615;17.805824279785156;4.154478073120117
Bayraktar_TB2_10000;;10001.0;6.500059127807617;10.41895580291748;2.0932931900024414
Bayraktar_Akinci_10000;;9999.0;12.199726104736328;16.668750762939453;2.892119884490967
Avenger-716_UAV_10000;;10003.0;15.747617721557615;20.0998649597168;4.895106315612793
tank;;2030.0;9.278278350830078;3.272036075592041;3.088963031768799
